"Import Order","Phase","Asset Group Code","Asset Group","Shot Order","Tier","Impact","Shot","Scene ID","Variant ID","Scene Contract Status","Profile","Demo Snapshot State","Format","Aspect Ratio","Final Size","Raw Minimum","Safe Area Requirement","Composition Requirement","Visible Proof","Reject If","Raw Filename Template","Final Filename","Final Relative Path","Static Claim Limit","Operator Gate"
"1","Launch","AG1","First Useful Related Note","AG1-01","T1 Launch","100","Hero: current note -> ranked related notes","sc-current-note-related-notes","current-note-ranked-list-landscape","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep active note title/prose and ranked source results in the same frame.","Active anchor note and ranked Smart Connections source results visible together","A viewer cannot tell the list belongs to the current note within 5 seconds","sc-current-note-related-notes--current-note-ranked-list-landscape--{run_id}--raw.png","ag1-100x-01-current-note-ranked-list-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-01-current-note-ranked-list-landscape-1200x628.png","Still proves the current visible note-to-results state only.","Capture after launch scene verification passes"
"2","Launch","AG1","First Useful Related Note","AG1-01","T1 Launch","100","Hero: current note -> ranked related notes","sc-current-note-related-notes","current-note-ranked-list-square","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep active note title/prose and ranked source results in the same frame.","Active anchor note and ranked Smart Connections source results visible together","A viewer cannot tell the list belongs to the current note within 5 seconds","sc-current-note-related-notes--current-note-ranked-list-square--{run_id}--raw.png","ag1-100x-01-current-note-ranked-list-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-01-current-note-ranked-list-square-1200x1200.png","Still proves the current visible note-to-results state only.","Capture after launch scene verification passes"
"3","Launch","AG1","First Useful Related Note","AG1-01","T1 Launch","100","Hero: current note -> ranked related notes","sc-current-note-related-notes","current-note-ranked-list-portrait","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep active note title/prose and ranked source results in the same frame.","Active anchor note and ranked Smart Connections source results visible together","A viewer cannot tell the list belongs to the current note within 5 seconds","sc-current-note-related-notes--current-note-ranked-list-portrait--{run_id}--raw.png","ag1-100x-01-current-note-ranked-list-portrait-960x1200.png","outputs/final/ag1/100x/ag1-100x-01-current-note-ranked-list-portrait-960x1200.png","Still proves the current visible note-to-results state only.","Capture after launch scene verification passes"
"4","Launch","AG1","First Useful Related Note","AG1-02","T1 Launch","96","Trust: expanded result preview/detail","sc-current-note-related-notes","expanded-result-detail-landscape","Existing scene plus expanded-result addendum; apply/verify addendum before capture","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep expanded result, neighboring ranked result, and active anchor visible.","One top result expanded with real snippet or detail while anchor remains visible","The expanded result looks like random text rather than evidence of relevance","sc-current-note-related-notes--expanded-result-detail-landscape--{run_id}--raw.png","ag1-100x-02-expanded-result-detail-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-02-expanded-result-detail-landscape-1200x628.png","Still proves an expanded current result, not universal ranking quality.","Capture after launch scene verification passes"
"5","Launch","AG1","First Useful Related Note","AG1-02","T1 Launch","96","Trust: expanded result preview/detail","sc-current-note-related-notes","expanded-result-detail-square","Existing scene plus expanded-result addendum; apply/verify addendum before capture","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep expanded result, neighboring ranked result, and active anchor visible.","One top result expanded with real snippet or detail while anchor remains visible","The expanded result looks like random text rather than evidence of relevance","sc-current-note-related-notes--expanded-result-detail-square--{run_id}--raw.png","ag1-100x-02-expanded-result-detail-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-02-expanded-result-detail-square-1200x1200.png","Still proves an expanded current result, not universal ranking quality.","Capture after launch scene verification passes"
"6","Launch","AG1","First Useful Related Note","AG1-02","T1 Launch","96","Trust: expanded result preview/detail","sc-current-note-related-notes","expanded-result-detail-portrait","Existing scene plus expanded-result addendum; apply/verify addendum before capture","sc-core-clean","v2-base-unlinked","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep expanded result, neighboring ranked result, and active anchor visible.","One top result expanded with real snippet or detail while anchor remains visible","The expanded result looks like random text rather than evidence of relevance","sc-current-note-related-notes--expanded-result-detail-portrait--{run_id}--raw.png","ag1-100x-02-expanded-result-detail-portrait-960x1200.png","outputs/final/ag1/100x/ag1-100x-02-expanded-result-detail-portrait-960x1200.png","Still proves an expanded current result, not universal ranking quality.","Capture after launch scene verification passes"
"7","Launch","AG1","First Useful Related Note","AG1-03","T1 Launch","99","Payoff: result inserted as note link","sc-related-result-to-note-link","inserted-note-link-landscape","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","sc-core-clean","v2-post-link","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Frame the Related section, inserted link, and matching source result together.","The current note contains a real Obsidian link to a visible matching Connections result","The link is visible but the source result is not visible or the link target is not verified","sc-related-result-to-note-link--inserted-note-link-landscape--{run_id}--raw.png","ag1-100x-03-inserted-note-link-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-03-inserted-note-link-landscape-1200x628.png","Still proves the resulting link state only; drag requires motion evidence.","Capture after launch scene verification passes"
"8","Launch","AG1","First Useful Related Note","AG1-03","T1 Launch","99","Payoff: result inserted as note link","sc-related-result-to-note-link","inserted-note-link-square","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","sc-core-clean","v2-post-link","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Frame the Related section, inserted link, and matching source result together.","The current note contains a real Obsidian link to a visible matching Connections result","The link is visible but the source result is not visible or the link target is not verified","sc-related-result-to-note-link--inserted-note-link-square--{run_id}--raw.png","ag1-100x-03-inserted-note-link-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-03-inserted-note-link-square-1200x1200.png","Still proves the resulting link state only; drag requires motion evidence.","Capture after launch scene verification passes"
"9","Launch","AG1","First Useful Related Note","AG1-03","T1 Launch","99","Payoff: result inserted as note link","sc-related-result-to-note-link","inserted-note-link-portrait","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","sc-core-clean","v2-post-link","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Frame the Related section, inserted link, and matching source result together.","The current note contains a real Obsidian link to a visible matching Connections result","The link is visible but the source result is not visible or the link target is not verified","sc-related-result-to-note-link--inserted-note-link-portrait--{run_id}--raw.png","ag1-100x-03-inserted-note-link-portrait-960x1200.png","outputs/final/ag1/100x/ag1-100x-03-inserted-note-link-portrait-960x1200.png","Still proves the resulting link state only; drag requires motion evidence.","Capture after launch scene verification passes"
"10","Launch","AG1","First Useful Related Note","AG1-04","T1 Launch","91","End-of-note: Footer connections","sc-footer-end-note-related-notes","footer-connections-landscape","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep final note section and Footer results visibly connected.","End of the active note and Footer Connections results are visible together","The footer looks like a separate dashboard instead of the bottom of the active note","sc-footer-end-note-related-notes--footer-connections-landscape--{run_id}--raw.png","ag1-100x-04-footer-connections-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-04-footer-connections-landscape-1200x628.png","Still proves open footer results at note end, not a drag or insertion action.","Capture after launch scene verification passes"
