"Priority","Phase","Asset Group Code","Shot Order","Format","Shot Key","Scene ID","Profile","Demo Snapshot State","Scene Contract Status","Verify Before Capture","Capture Action","Reject If","Matrix Import Order","Expected Final Filename"
"1","Launch","AG1","AG1-01","Landscape","current-note-ranked-list","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-01 Landscape: compose current-note-ranked-list-landscape; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell the list belongs to the current note within 5 seconds","1","ag1-100x-01-current-note-ranked-list-landscape-1200x628.png"
"2","Launch","AG1","AG1-01","Square","current-note-ranked-list","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-01 Square: compose current-note-ranked-list-square; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell the list belongs to the current note within 5 seconds","2","ag1-100x-01-current-note-ranked-list-square-1200x1200.png"
"3","Launch","AG1","AG1-01","Portrait","current-note-ranked-list","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-01 Portrait: compose current-note-ranked-list-portrait; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell the list belongs to the current note within 5 seconds","3","ag1-100x-01-current-note-ranked-list-portrait-960x1200.png"
"4","Launch","AG1","AG1-02","Landscape","expanded-result-detail","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene plus expanded-result addendum; apply/verify addendum before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-02 Landscape: compose expanded-result-detail-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The expanded result looks like random text rather than evidence of relevance","4","ag1-100x-02-expanded-result-detail-landscape-1200x628.png"
"5","Launch","AG1","AG1-02","Square","expanded-result-detail","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene plus expanded-result addendum; apply/verify addendum before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-02 Square: compose expanded-result-detail-square; keep proof inside center 80%; save untouched raw before any derivative.","The expanded result looks like random text rather than evidence of relevance","5","ag1-100x-02-expanded-result-detail-square-1200x1200.png"
"6","Launch","AG1","AG1-02","Portrait","expanded-result-detail","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene plus expanded-result addendum; apply/verify addendum before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-02 Portrait: compose expanded-result-detail-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The expanded result looks like random text rather than evidence of relevance","6","ag1-100x-02-expanded-result-detail-portrait-960x1200.png"
"7","Launch","AG1","AG1-03","Landscape","inserted-note-link","sc-related-result-to-note-link","sc-core-clean","v2-post-link","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-03 Landscape: compose inserted-note-link-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The link is visible but the source result is not visible or the link target is not verified","7","ag1-100x-03-inserted-note-link-landscape-1200x628.png"
"8","Launch","AG1","AG1-03","Square","inserted-note-link","sc-related-result-to-note-link","sc-core-clean","v2-post-link","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-03 Square: compose inserted-note-link-square; keep proof inside center 80%; save untouched raw before any derivative.","The link is visible but the source result is not visible or the link target is not verified","8","ag1-100x-03-inserted-note-link-square-1200x1200.png"
"9","Launch","AG1","AG1-03","Portrait","inserted-note-link","sc-related-result-to-note-link","sc-core-clean","v2-post-link","Existing scene draft; static proof uses verified post-link state; motion required for drag claim","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-03 Portrait: compose inserted-note-link-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The link is visible but the source result is not visible or the link target is not verified","9","ag1-100x-03-inserted-note-link-portrait-960x1200.png"
"10","Launch","AG1","AG1-04","Landscape","footer-connections","sc-footer-end-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-04 Landscape: compose footer-connections-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The footer looks like a separate dashboard instead of the bottom of the active note","10","ag1-100x-04-footer-connections-landscape-1200x628.png"
