filename,surface,fatal_gate,quality_decision,notes
"sc-connections--filter-context-controls--2026-06-23T085041-0400--raw.png","Connections","PASS","support","Source note results with filter query and controls."
"sc-connections--source-note-results-mini-graph--2026-06-23T085041-0400--raw.png","Connections","PASS","candidate","Source note, scored results, mini graph, Fully synced, Pro label."
"sc-menu--connections-sort-options--2026-06-23T085041-0400--raw.png","Menu","PASS","candidate","Product-specific Connections sort menu with real options."
"sc-menu--smart-graph-tab-options--2026-06-23T085041-0400--raw.png","Menu","FAIL","qa_only","Full-screen capture includes desktop clutter; recapture or omit."
"sc-settings--community-plugins-installed--2026-06-23T085041-0400--raw.png","Settings","PASS_WITH_REVIEW","support","Community plugins list; internal/support due third-party metadata."
"sc-settings--connections-pro-controls--2026-06-23T085041-0400--raw.png","Settings","PASS","candidate","Connections Pro settings with Pro controls and no account details."
"sc-settings--context-pro-controls--2026-06-23T085041-0400--raw.png","Settings","PASS","support","Context Pro settings controls."
"sc-settings--graph-pro-help-and-controls--2026-06-23T085041-0400--raw.png","Settings","PASS","support","Graph Pro help/settings controls; weaker visual."
"sc-settings--smart-environment-source-index-controls--2026-06-23T085041-0400--raw.png","Settings","PASS","candidate","Global Smart Environment source/index controls."
"sc-smart-context--builder-menu-milestone-overlay--2026-06-23T085041-0400--raw.png","Context","FAIL_FOR_PUBLICATION","qa_only","Notification overlay present; clean replacement captured."
"sc-smart-context--builder-menu-source-note-clean--2026-06-23T085041-0400--raw.png","Context","PASS","candidate","Clean Builder add-menu over source-note state."
"sc-smart-context--named-contexts-empty--2026-06-23T085041-0400--raw.png","Context","PASS_BUT_WEAK","qa_only","Empty named-contexts state."
"sc-smart-context--source-connections-picker-scores--2026-06-23T085041-0400--raw.png","Context","PASS","candidate","Builder source-connections picker with scores and add-control hints."
"sc-smart-context--source-picker-filtered-current-note--2026-06-23T085041-0400--raw.png","Context","PASS","support","Filtered source picker for current note."
"sc-smart-graph--search-nodes-note--2026-06-23T085041-0400--raw.png","Graph","PASS","support","Graph search query with highlighted matches."
"sc-smart-graph--selected-note-matches-controls--2026-06-23T085041-0400--raw.png","Graph","PASS","candidate","Selected graph matches with action controls and cluster/node counts."
"sc-smart-graph--whole-vault-clusters--2026-06-23T085041-0400--raw.png","Graph","PASS","support","Whole-vault cluster overview."
"sc-store--community-plugin-browser--2026-06-23T085041-0400--raw.png","Store","PASS","support","Generic Community Plugins browser."
"sc-store--smart-plugin-search-results--2026-06-23T085041-0400--raw.png","Store","PASS","support","Community Plugins search for Smart plugins."
"sc-store--smart-plugins-catalog-core-pro--2026-06-23T085041-0400--raw.png","Store","PASS","candidate","Smart Plugins catalog with Core/Pro rows and Active states."
