Import Order,Asset Group Code,Asset Group,Family Order,Evidence Family,Scene ID,Variant ID,Scene Readiness Before Official Capture,Profile,Fixture Snapshot,Format,Aspect Ratio,Final Size,Raw Minimum,Composition Requirement,Visible Proof,Raw Filename Template,Final Filename,Final Relative Path,Static Claim Limit
13,AG1,First Useful Related Note,5,100X promoted - source note plus mini graph,sc-100x-connections-source-mini-graph,source-mini-graph-landscape,Promoted candidate; official recapture blocked until named snapshot restore and sc-core-clean isolation pass,sc-core-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; keep source note results scores and mini graph in one readable frame,Active fixture note current Connections results scores and mini graph visible together,sc-100x-connections-source-mini-graph--source-mini-graph-landscape--{run_id}--raw.png,ag1-100x-01-source-mini-graph-landscape-1200x628.png,outputs/final/ag1/promoted/ag1-100x-01-source-mini-graph-landscape-1200x628.png,Claim only the visible current-note results and mini graph state
14,AG1,First Useful Related Note,5,100X promoted - source note plus mini graph,sc-100x-connections-source-mini-graph,source-mini-graph-square,Promoted candidate; official recapture blocked until named snapshot restore and sc-core-clean isolation pass,sc-core-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so source note results scores and mini graph remain readable in a square crop,Active fixture note current Connections results scores and mini graph visible together,sc-100x-connections-source-mini-graph--source-mini-graph-square--{run_id}--raw.png,ag1-100x-01-source-mini-graph-square-1200x1200.png,outputs/final/ag1/promoted/ag1-100x-01-source-mini-graph-square-1200x1200.png,Claim only the visible current-note results and mini graph state
15,AG1,First Useful Related Note,5,100X promoted - source note plus mini graph,sc-100x-connections-source-mini-graph,source-mini-graph-portrait,Promoted candidate; official recapture blocked until named snapshot restore and sc-core-clean isolation pass,sc-core-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the whole desktop into the frame,Active fixture note current Connections results scores and mini graph visible together,sc-100x-connections-source-mini-graph--source-mini-graph-portrait--{run_id}--raw.png,ag1-100x-01-source-mini-graph-portrait-960x1200.png,outputs/final/ag1/promoted/ag1-100x-01-source-mini-graph-portrait-960x1200.png,Claim only the visible current-note results and mini graph state
13,AG3,Pro Trial / Large Vault Upgrade,5,100X promoted - Smart Graph selected matches,sc-100x-smart-graph-selected-matches,selected-matches-landscape,Promoted candidate; needs explicit AG3 addendum approval because Smart Graph is outside the original AG3 primary scenes,sc-pro-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; selected node graph and matching ranked list must stay together,Selected Smart Graph matches source note identity controls and Pro label visible together,sc-100x-smart-graph-selected-matches--selected-matches-landscape--{run_id}--raw.png,ag3-100x-01-smart-graph-selected-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-01-smart-graph-selected-landscape-1200x628.png,Claim only the visible graph selection and current match list
14,AG3,Pro Trial / Large Vault Upgrade,5,100X promoted - Smart Graph selected matches,sc-100x-smart-graph-selected-matches,selected-matches-square,Promoted candidate; needs explicit AG3 addendum approval because Smart Graph is outside the original AG3 primary scenes,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so selected node graph controls and match list remain readable in a square crop,Selected Smart Graph matches source note identity controls and Pro label visible together,sc-100x-smart-graph-selected-matches--selected-matches-square--{run_id}--raw.png,ag3-100x-01-smart-graph-selected-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-01-smart-graph-selected-square-1200x1200.png,Claim only the visible graph selection and current match list
15,AG3,Pro Trial / Large Vault Upgrade,5,100X promoted - Smart Graph selected matches,sc-100x-smart-graph-selected-matches,selected-matches-portrait,Promoted candidate; needs explicit AG3 addendum approval because Smart Graph is outside the original AG3 primary scenes,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; selected graph and match list must not be clipped,Selected Smart Graph matches source note identity controls and Pro label visible together,sc-100x-smart-graph-selected-matches--selected-matches-portrait--{run_id}--raw.png,ag3-100x-01-smart-graph-selected-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-01-smart-graph-selected-portrait-960x1200.png,Claim only the visible graph selection and current match list
16,AG3,Pro Trial / Large Vault Upgrade,6,100X promoted - Connections sort menu,sc-100x-connections-sort-options,sort-options-landscape,Promoted candidate; menu must remain anchored to current Connections results and pass profile/snapshot gates,sc-pro-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; current result list and open sort menu must both be visible,Connections sort menu anchored to the current scored result list,sc-100x-connections-sort-options--sort-options-landscape--{run_id}--raw.png,ag3-100x-02-connections-sort-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-02-connections-sort-landscape-1200x628.png,Claim only the visible sorting controls and current list state
17,AG3,Pro Trial / Large Vault Upgrade,6,100X promoted - Connections sort menu,sc-100x-connections-sort-options,sort-options-square,Promoted candidate; menu must remain anchored to current Connections results and pass profile/snapshot gates,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the sort menu and enough ranked results fit together,Connections sort menu anchored to the current scored result list,sc-100x-connections-sort-options--sort-options-square--{run_id}--raw.png,ag3-100x-02-connections-sort-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-02-connections-sort-square-1200x1200.png,Claim only the visible sorting controls and current list state
18,AG3,Pro Trial / Large Vault Upgrade,6,100X promoted - Connections sort menu,sc-100x-connections-sort-options,sort-options-portrait,Promoted candidate; menu must remain anchored to current Connections results and pass profile/snapshot gates,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; keep the open sort menu inside the intended crop,Connections sort menu anchored to the current scored result list,sc-100x-connections-sort-options--sort-options-portrait--{run_id}--raw.png,ag3-100x-02-connections-sort-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-02-connections-sort-portrait-960x1200.png,Claim only the visible sorting controls and current list state
19,AG3,Pro Trial / Large Vault Upgrade,7,100X promoted - Smart Context source connections picker,sc-100x-context-source-connections-picker,source-connections-picker-landscape,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; source picker scores and source note identity must be visible,Smart Context source-connections picker showing scored current-note results,sc-100x-context-source-connections-picker--source-connections-picker-landscape--{run_id}--raw.png,ag3-100x-03-context-source-picker-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-03-context-source-picker-landscape-1200x628.png,Claim only the visible source picker and scored result list
